title_en,title_am,similarity_score,alternative_position,reason
Remote task handler,የርቀት ተግባር ተቆጣጣሪ,0.0,Remote Virtual Assistant,Task handler typical for virtual assistant role.
Remote Technical Manager,የርቀት ቴክኒካል አስተዳዳሪ,0.0,Remote Technical Manager,Direct mapping for management oversight.
Remote Telemarketer,የርቀት ቴሌማርኬተር,0.0,Telemarketer,Standard telemarketing role; remote is a work arrangement.
Rental for Galileo Sign On,ኪራይ ለጋሊልዮ ይግቡ,0.0,Reservation Agent,"Galileo is a travel reservation system, so role involves making reservations."
Repair AWS(amazon web services) system,የAWS(የአማዞን ድር አገልግሎቶች) ስርዓትን መጠገን,0.0,AWS Administrator,Responsible for repairing and maintaining AWS systems.
Reporting Specialist,ሪፖርት አድራጊ ስፔሻሊስት,0.0,Reporting Specialist,Standard title for generating reports.
Reporting Team Leader,የሪፖርት ቡድን መሪ,0.0,Reporting Team Lead,Supervises a reporting team.
Research and Content Creation,ምርምር እና ይዘት መፍጠር,0.0,Content Writer,Emphasizes content creation combined with research.
Research and Proposal Developer,የምርምር እና ፕሮፖዛል ገንቢ,0.0,Proposal Writer,Develops research proposals.
Research Co-ordinator,የምርምር አስተባባሪ,0.0,Research Coordinator,Standard title for coordinating research activities.
Research Coordinator for Operational Research on Child Wasting,ስለ ልጅ ብክነት የተግባር ጥናት ምርምር አስተባባሪ,0.0,Research Coordinator,Specialized focus on child wasting operational research.
research data analyser,የምርምር መረጃ ተንታኝ,0.0,Data Analyst,Corrected spelling of 'data analyser' to standard title.
Research guide,የምርምር መመሪያ,0.0,Research Assistant,Role guides research participants or research process.
Research on Displacement Trends,የመፈናቀል አዝማሚያዎች ላይ ጥናት,0.0,Research Analyst,Analyzes displacement trends.
"Research Partner for a Maternal, Neonatal and Child Health (MNCH) Effectiveness Study in Ethiopia",የምርምር አጋር ለእናቶች፣ አራስ እና ህፃናት ጤና (MNCH) ውጤታማነት ጥናት በኢትዮጵያ,0.0,Research Consultant,Partner in a specific health effectiveness study.
Research personnel for visibility study,ለታይነት ጥናት ተመራማሪዎች,0.0,Research Assistant,Personnel supporting a visibility study.
Reservation Executive,የቦታ ማስያዝ ሥራ አስፈፃሚ,0.0,Reservation Executive,Standard title in hospitality and travel.
Reservation Supervisor,የመጠባበቂያ ተቆጣጣሪ,0.0,Reservation Supervisor,Oversees reservation operations.
Resident DJ,ነዋሪ ዲጄ,0.0,DJ,Resident DJ is a specialized form of DJ.
Resilience Activity Lead,የመቋቋም እንቅስቃሴ መሪ,0.0,Program Manager,Leads resilience activities and programs.
Resource Mobilization And Customer Service Officer,የሀብት ማሰባሰብ እና የደንበኞች አገልግሎት ኦፊሰር,0.0,Resource Mobilization Officer,Primary focus on mobilizing resources with customer service duties.
Resource Mobilization Expert -I,የንብረት ማሰባሰብ ባለሙያ -I,0.0,Resource Mobilization Expert,Standard title for expert-level resource mobilization.
Resource Mobilization Expert -II,የንብረት ማሰባሰብ ባለሙያ -II,0.0,Resource Mobilization Officer,Standardized title for resource mobilization roles with seniority implied.
Resource Mobilization/Marketing Coordinator,የሀብት ማሰባሰብ/ግብይት አስተባባሪ,0.0,Resource Mobilization Coordinator,Marketing aspect is secondary; coordinator is common in Ethiopian NGOs.
"Restaurant banner , flayer , poster , logo designer",የምግብ ቤት ባነር ፣ ፍላየር ፣ ፖስተር ፣ አርማ ዲዛይነር,0.0,Graphic Designer,"Focus on print materials (banners, flyers, posters, logos)."
Retail & MSME IFB- Relationship Officer,ችርቻሮ እና MSME IFB- ግንኙነት ኦፊሰር,0.0,Relationship Officer,Retail and MSME context fits standard Relationship Officer role.
Reverse engineer and penetration tester,የተገላቢጦሽ መሐንዲስ እና የመግቢያ ሞካሪ,0.0,Cybersecurity Analyst,Reverse engineering and penetration testing are core cybersecurity tasks.
Revit and 3d max instructor,Revit እና 3d max አስተማሪ,0.0,Revit Instructor,Primary software taught is Revit; 3ds Max is supplementary.
Revit and 3d Max Teacher,Revit እና 3d Max መምህር,0.0,Revit Instructor,Same as above; 'teacher' and 'instructor' are synonymous.
Revit and Graphics design softwares trainer,የሪቪት እና ግራፊክስ ዲዛይን ሶፍትዌሮች አሰልጣኝ,0.0,Revit Instructor,Graphics design software is additional; Revit remains primary focus.
Revit Expert,Revit ኤክስፐርት,0.0,Revit Specialist,'Expert' is informal; 'Specialist' is standard professional title.
Reward & Reporting Specialist,ሽልማት እና ሪፖርት ማድረግ ስፔሻሊስት,0.0,Reporting Specialist,Reward and reporting combined; reporting is the more prominent function.
RFP - Health Financing Consultancy,RFP - የጤና ፋይናንስ አማካሪ,0.0,Health Financing Consultant,RFP indicates consultancy; health financing is the specialization.
Ride Hailing App developer,Ride Hailing መተግበሪያ ገንቢ,0.0,Mobile App Developer,Ride-hailing apps are mobile applications; developer role.
Right of Way ( Way Leave Coordinator),የመንገዱ መብት (የመንገድ መልቀቅ አስተባባሪ),0.0,Right of Way Coordinator,Standard title for coordinating wayleave and right of way.
Right of way Management Specialist,የመንገድ መብት አስተዳደር ስፔሻሊስት,0.0,Right of Way Specialist,Specialist title aligns with management role.
RIPA NUTRITION TEAM LEAD,የRIPA አመጋገብ ቡድን መሪ,0.0,Nutrition Team Lead,RIPA is project name; core role is leading nutrition team.
RIPA Somali Region Program Coordinator,የ RIPA ሱማሌ ክልል ፕሮግራም አስተባባሪ,0.0,Program Coordinator,Regional context added; standard coordinator role for program.
Risk & Internal Audit Head,ስጋት እና የውስጥ ኦዲት ኃላፊ,0.0,Head of Internal Audit,Risk and internal audit head typically leads internal audit.
Risk and Compliance - Head,አደጋ እና ተገዢነት - ጭንቅላት,0.0,Head of Risk and Compliance,Combined risk and compliance leadership role.
RMNCH Senior Officer,የRMNCH ከፍተኛ መኮንን,0.0,RMNCH Officer,Seniority level omitted; standard RMNCH officer title.
RMNCH-FP Program Officer,RMNCH-FP ፕሮግራም ኦፊሰር,0.0,RMNCH Program Officer,FP (family planning) is included under RMNCH; program officer is standard.
Roasting operator,ጥብስ ኦፕሬተር,0.0,Coffee Roasting Technician,Coffee roasting is a specialized production role in Ethiopia's coffee industry.
Route Sales Supervisor (Buna Pen and Buna Plate),የመንገድ ሽያጭ ተቆጣጣሪ (ቡና ፔን እና ቡና ሳህን),0.0,Route Sales Supervisor,Standard sales management role with route responsibilities.
Roving Area Manager – Norwegian Refugee Council (NRC),የሮቪንግ አካባቢ ሥራ አስኪያጅ - የኖርዌይ የስደተኞች ምክር ቤት (NRC),0.0,Area Manager,Roving indicates mobile management; core role is area management.
Roving Cash and Voucher Program Manager,የሮቪንግ ጥሬ ገንዘብ እና የቫውቸር ፕሮግራም አስተዳዳሪ,0.0,Cash and Voucher Program Manager,Humanitarian cash and voucher assistance management.
Roving ECSC-SUN Senior Gender Advisor,ሮቪንግ ECSC-Sun ከፍተኛ የሥርዓተ-ፆታ አማካሪ,0.0,Senior Gender Advisor,Senior gender advisory role in development/humanitarian.
Roving Finance officer-EUD project,ሮቪንግ ፋይናንስ ኦፊሰር-EUD ፕሮጀክት,0.0,Finance Officer,Project finance management.
Roving MHPSS Specialist,ሮቪንግ MHPSS ስፔሻሊስት,0.0,Mental Health and Psychosocial Support Specialist,MHPSS is a recognized specialization in humanitarian work.
Roving Private Sector Technical Advisor,የሮቪንግ የግል ዘርፍ ቴክኒካል አማካሪ,0.0,Private Sector Development Advisor,Advising on private sector engagement.
Roving Protection and Gender Officer- SWAN,የሮቪንግ ጥበቃ እና የሥርዓተ-ፆታ ኦፊሰር- SWAN,0.0,Protection and Gender Officer,Protection and gender mainstreaming role.
Roving Risk & Compliance Advisor,የሮቪንግ ስጋት እና ተገዢነት አማካሪ,0.0,Risk and Compliance Advisor,Audit and risk management advisory.
Roving Senior Gender Advisor,የሮቪንግ ከፍተኛ የሥርዓተ-ፆታ አማካሪ,0.0,Senior Gender Advisor,Senior-level gender expertise.
Roving Senior Project Officer-JEOP Operation,የሮቪንግ ሲኒየር ፕሮጄክት ኦፊሰር-JEOP ኦፕሬሽን,0.0,Senior Project Officer,Project management in humanitarian operations.
Ruby developer position,Ruby ገንቢ ቦታ,0.0,Ruby Developer,Software development with Ruby language.
Ruby on rails developer,በባቡር ሐዲድ ላይ ገንቢ Ruby,0.0,Ruby on Rails Developer,Web development using Ruby on Rails framework.
Runner and Patient Coordinator,ሯጭ እና ታካሚ አስተባባሪ,0.0,Patient Coordinator,Coordinates patient movement and services in healthcare.
Rural Development and Livelihood Project Manager,የገጠር ልማት እና መተዳደሪያ ፕሮጀክት ሥራ አስኪያጅ,0.0,Project Manager (Rural Development and Livelihoods),Manages rural development and livelihood projects.
Rural Micro Finance Specialist,የገጠር ማይክሮ ፋይናንስ ባለሙያ,0.0,Microfinance Specialist,Expert in rural microfinance services.
Safe and Inclusive Programming Officer,ደህንነቱ የተጠበቀ እና አካታች የፕሮግራሚንግ ኦፊሰር,0.0,Safeguarding and Inclusion Officer,Ensures safe and inclusive program implementation.
Safe Guarding and Gender focal person,ደህንነቱ የተጠበቀ ጥበቃ እና የሥርዓተ-ፆታ ትኩረት ሰው,0.0,Gender and Safeguarding Officer,Focal point for safeguarding and gender issues.
SAFE4HCF Infrastructure Design coordinator,SAFE4HCF የመሠረተ ልማት ንድፍ አስተባባሪ,0.0,Infrastructure Design Coordinator,Coordinates design of infrastructure for health care facilities.
Saho/ Irob to English translator,ሳሆ/ ኢሮብ ወደ እንግሊዝኛ ተርጓሚ,0.0,Translator,Translates between Saho/Irob and English.
Sales and Credit Collection Division Head,የሽያጭ እና የብድር ክምችት ክፍል ኃላፊ,0.0,Sales and Credit Manager,Heads both sales and credit collection divisions.
Sales and Front desk,የሽያጭ እና የፊት ጠረጴዛ,0.0,Sales and Front Desk Officer,Combines sales duties with front desk responsibilities.
Sales Data Analysis,የሽያጭ ውሂብ ትንተና,0.0,Sales Data Analyst,Analyzes sales data.
Sales markating,የሽያጭ ግብይት,0.0,Sales and Marketing Officer,Handles sales and marketing activities.
Sales Market Research & Promotion Division Head,የሽያጭ ገበያ ምርምር እና ማስተዋወቂያ ክፍል ኃላፊ,0.0,Market Research and Promotion Manager,Leads division for market research and promotion.
Sales Order Booker,የሽያጭ ማዘዣ ደብተር,0.0,Sales Order Processor,Processes and books sales orders.
Sales Pitcher,የሽያጭ ፒቸር,0.0,Sales Representative,Pitches products to customers.
Salt Sales Person,የጨው ሽያጭ ሰው,0.0,Sales Representative (Salt),Specializes in salt sales.
Salvage & Recovery Handling Clerk I,የማዳን እና መልሶ ማግኛ አያያዝ ጸሐፊ I,0.0,Salvage and Recovery Clerk,Handles salvage and recovery operations.
Salvage & Recovery Handling Clerk II,የማዳን እና መልሶ ማግኛ አያያዝ ጸሐፊ II,0.0,Senior Salvage and Recovery Clerk,Higher level role in salvage and recovery.
Sample intake & customer service,ናሙና ቅበላ እና የደንበኛ አገልግሎት,0.0,Customer Service and Sample Intake Officer,Manages sample receipt and customer inquiries.
sandbox for windows,ማጠሪያ ለዊንዶውስ,0.0,IT Support Engineer,Manages sandbox environments for Windows.
Sanitarian,የንጽህና ባለሙያ,0.0,Sanitarian,Ensures sanitation standards.
Sanitary drawing draftsman,የንፅህና ስዕል ንድፍ አውጪ,0.0,Sanitary Drafter,Creates technical drawings for sanitary systems.
Sanitary Engineer PPSE,የንፅህና መሐንዲስ PPSE,0.0,Sanitary Engineer,Designs and implements sanitary systems.
Sanitary Foreman,የንፅህና ፎርማን,0.0,Sanitary Foreman,Supervises sanitation construction or maintenance.
Sanitatio and Hygiene Promotion Assistatnt,ሳኒታቲዮ እና ንጽህና ማስተዋወቅ ረዳት,0.0,Sanitation and Hygiene Promotion Assistant,Assists in promoting hygiene.
SAP BI and Tableau Implementation Consultant,SAP BI እና Tableau ትግበራ አማካሪ,0.0,SAP BI and Tableau Consultant,Implements business intelligence solutions.
SAP Finance and Controlling (FICO) Consultant,SAP ፋይናንስ እና ቁጥጥር (FICO) አማካሪ,0.0,SAP FICO Consultant,Specializes in finance and controlling modules.
Saponification Operator,Saponification ኦፕሬተር,0.0,Chemical Operator,Saponification is a chemical process in soap manufacturing.
Saponification Supervisors,Saponification ተቆጣጣሪዎች,0.0,Production Supervisor,Supervises saponification operations in production.
SAQ Team Leader,SAQ ቡድን መሪ,0.0,Quality Assurance Team Leader,SAQ likely refers to quality assessment or audit processes.
Saris SRH Clinic Coordinator,የሳሪስ ኤስአርኤች ክሊኒክ አስተባባሪ,0.0,SRH Clinic Coordinator,Coordinates sexual and reproductive health clinic activities.
Satellite Store Keeper,የሳተላይት መደብር ጠባቂ,0.0,Store Keeper,Manages inventory at a satellite location.
Satellite Store Man,የሳተላይት መደብር ሰው,0.0,Store Attendant,Responsible for satellite store operations.
Saving and Credit Unit Head,ቁጠባ እና ብድር ክፍል ኃላፊ,0.0,Savings and Credit Unit Head,Leads savings and credit operations in microfinance.
SBC Advisor-Family Planning and MCH,የኤስቢሲ አማካሪ-የቤተሰብ እቅድ እና ኤም.ሲ.ኤች,0.0,SBC Advisor,Advises on social and behavior change for family planning and MCH.
Scada developer,Scada ገንቢ,0.0,SCADA Developer,Develops and maintains SCADA systems for industrial automation.
SCASI Senior Program Manager,SCASI ሲኒየር ፕሮግራም አስተዳዳሪ,0.0,Senior Program Manager,Manages programs for the SCASI organization.
Scheduler,መርሐግብር አዘጋጅ,0.0,Scheduler,General role for scheduling tasks or appointments.
Scholarship Application Assistance,የስኮላርሺፕ ማመልከቻ እርዳታ,0.0,Scholarship Advisor,Assists with scholarship application processes.
School data encoder,የትምህርት ቤት መረጃ መቀየሪያ,0.0,Data Entry Clerk,Encodes school data into systems.
School Health and Nutrition Coordination Advisor,የትምህርት ቤት ጤና እና አመጋገብ ማስተባበሪያ አማካሪ,0.0,School Health Coordinator,Coordinates health and nutrition programs in schools.
School Research Affiliate Program finder,የትምህርት ቤት ምርምር ተባባሪ ፕሮግራም አግኚ,0.0,Research Program Coordinator,Identifies and coordinates research affiliate programs.
School Software Sales,የትምህርት ቤት ሶፍትዌር ሽያጭ,0.0,Software Sales Representative,Sells software products to schools.
Science Center Director,የሳይንስ ማዕከል ዳይሬክተር,0.0,Science Center Director,Directs operations and programs at a science center.
Scientific Research Writing Trainer,የሳይንሳዊ ምርምር ጽሑፍ አሠልጣኝ,0.0,Research Writing Trainer,Trains individuals in scientific research writing.
"SCORE, MUSIC COMPOSER FOR FILM",ውጤት፣ የሙዚቃ አቀናባሪ ለፊልም,0.0,Film Music Composer,Composes music for film projects.
Scouts for street marketing campaign,ስካውት ለጎዳና ግብይት ዘመቻ,0.0,Marketing Promoter,Conducts street marketing campaigns as a scout.
Scrum master,Scrum ዋና,0.0,Agile Project Manager,Scrum Master role is often mapped to project management in Ethiopian job market.
SD Program Implementation Advisor,የኤስዲ ፕሮግራም ትግበራ አማካሪ,0.0,Program Implementation Specialist,Standardizes 'SD Program Implementation Advisor' to a more common role.
"Secondary & Primary Division Teachers [English, History, ICT, Social Study, Afaan Oromo, Economics, Sport Science (HPE)]",ሁለተኛ ደረጃ እና የመጀመሪያ ክፍል መምህራን [እንግሊዝኛ፣ ታሪክ፣ አይሲቲ፣ ማህበራዊ ጥናት፣ አፋን ኦሮሞ፣ ኢኮኖሚክስ፣ ስፖርት ሳይንስ,0.0,School Teacher,Broad teaching role covering multiple subjects and levels.
Secretarial/Data Encoder,ሴክሬታሪያል/ዳታ ኢንኮደር,0.0,Administrative Assistant,Combines secretarial and data entry duties.
Section Head – In House Security,ክፍል ኃላፊ - በቤት ደህንነት ውስጥ,0.0,Security Section Head,Direct mapping for in-house security management.
Section Head – Out Sourced Security,ክፍል ኃላፊ - ምንጭ ደህንነት,0.0,Security Manager,Oversees outsourced security operations.
"Section Head, ATM Services","ክፍል ኃላፊ, የኤቲኤም አገልግሎቶች",0.0,ATM Services Manager,Standard management title for ATM services.
"Section Head, Call Center","ክፍል ኃላፊ, የጥሪ ማዕከል",0.0,Call Center Manager,Standard management title for call center.
"Section Head, IT Risk","ክፍል ኃላፊ, የአይቲ ስጋት",0.0,IT Risk Manager,Standard title for IT risk management.
"Section Head, Mobile & Agent Banking",ክፍል ኃላፊ፣ ሞባይል እና ወኪል ባንኪንግ,0.0,Mobile & Agent Banking Manager,Direct mapping for mobile and agent banking section head.
Section Manager,ክፍል አስተዳዳሪ,0.0,Operations Manager,Generic section management role.
Security Camera Controller,የደህንነት ካሜራ መቆጣጠሪያ,0.0,Security Surveillance Operator,More standard title for camera monitoring.
Seed Preparatory Section Operator,የዘር መሰናዶ ክፍል ኦፕሬተር,0.0,Seed Processing Operator,Maps to seed preparation in agriculture.
"SEED project Monitoring, Evaluation, and Learning (PML) officer",የ SEED ፕሮጀክት ክትትል፣ ግምገማ እና ትምህርት (PML) መኮንን,0.0,Monitoring & Evaluation Officer,Standard M&E role for project learning.
Book cover Artist/illustrator,የመፅሃፍ ሽፋን አርቲስት/አሳላሚ,0.0,Graphic Designer,Book cover artist is a type of graphic design.
Seinor Real Estate sales,Seinor ሪል እስቴት ሽያጭ,0.0,Senior Real Estate Sales Representative,Corrects spelling and standardizes the role.
Self-Loading Mixer Operator,እራስን የሚጭን ድብልቅ ኦፕሬተር,0.0,Mixer Operator,Self-loading mixer operator is construction equipment operator.
SEM,ሴም,0.0,Digital Marketing Specialist,"SEM commonly refers to Search Engine Marketing, mapped to digital marketing."
Senior - Server & Storage Administrator,ሲኒየር - አገልጋይ እና ማከማቻ አስተዳዳሪ,0.0,Senior Server Administrator,Direct mapping for server and storage administration.
Senior Access to Finance Team Lead,ከፍተኛ የፋይናንስ ቡድን መሪ መዳረሻ,0.0,Financial Inclusion Team Lead,Focuses on access to finance leadership.
Senior Account Receivable Officer,ከፍተኛ የሂሳብ ተቀባይ ኦፊሰር,0.0,Senior Accounts Receivable Officer,"Direct mapping, minor wording adjustment."
Senior Account Receivables & Collection Officer,ከፍተኛ የሂሳብ ተቀባይ እና የስብስብ ኦፊሰር,0.0,Senior Accounts Receivable Officer,Combines receivables and collection; collection is part of receivables.
Senior Advisor - Community Based Intervention,ከፍተኛ አማካሪ - በማህበረሰብ ላይ የተመሰረተ ጣልቃገብነት,0.0,Senior Community Development Advisor,Community-based intervention closely aligns with community development.
Senior Advisor - Gender and Livelihood,ከፍተኛ አማካሪ - ጾታ እና ኑሮ,0.0,Senior Gender and Livelihood Advisor,Direct mapping.
Senior Advisor for Adolescent and Youth Sexual Reproductive Health Program,ለወጣቶች እና ለወጣቶች የወሲብ ስነ ተዋልዶ ጤና ፕሮግራም ከፍተኛ አማካሪ,0.0,Senior Adolescent and Youth Sexual Reproductive Health Advisor,"Direct mapping, shortened."
Senior Advisor Rural Development,ከፍተኛ አማካሪ የገጠር ልማት,0.0,Senior Rural Development Advisor,Direct mapping.
"SENIOR ADVISOR, GLOBAL SEXUAL REPRODUCTIVE HEALTH (SRH) TU - (701)",ሲኒየር አማካሪ፣ አለምአቀፍ የወሲብ ገንቢ ጤና (SRH) TU,0.0,Senior Global Sexual Reproductive Health Advisor,"Direct mapping, removed extraneous codes."
Senior Advocacy & Partnership Specialist,ሲኒየር አድቮኬሲ እና አጋርነት ስፔሻሊስት,0.0,Senior Advocacy and Partnership Specialist,Direct mapping.
Senior and Junior Operations,ሲኒየር እና ጁኒየር ክወናዎች,0.0,Senior Operations Officer,Ambiguous title; senior level prioritized.
Senior and Junior Programmer,ሲኒየር እና ጁኒየር ፕሮግራመር,0.0,Senior Programmer,Ambiguous title; senior level prioritized.
Senior and Lead Full Stack Engineers,ሲኒየር እና መሪ ሙሉ ቁልል መሐንዲሶች,0.0,Senior Full Stack Engineer,Senior and Lead are similar; senior level chosen.
Senior anethsethsist,ሲኒየር ማደንዘዣ,0.0,Senior Anesthesiologist,Corrected typo in job title.
Senior Assessment and Clearance Officer/ Assessment and Clearance Officer/Junior Officer,ከፍተኛ የግምገማ እና የፅዳት ኦፊሰር/የግምገማ እና የጽዳት ኦፊሰር/ጁኒየር ኦፊሰር,0.0,Senior Assessment and Clearance Officer,Multiple levels listed; senior role selected.
Senior Assessor,ከፍተኛ ገምጋሚ,0.0,Senior Assessor,Direct mapping.
Senior Associate - Transaction Advisory Services,ሲኒየር ተባባሪ - የግብይት አማካሪ አገልግሎቶች,0.0,Senior Transaction Advisory Associate,Direct mapping.
Senior Associate -Business Process Solutions,ሲኒየር ተባባሪ -የንግድ ሂደት መፍትሄዎች,0.0,Senior Business Process Solutions Associate,Direct mapping.
"Senior Associate, Africa Procurement and Business Development (GAIN Premix Facility)",ከፍተኛ ተባባሪ፣ የአፍሪካ ግዥ እና የንግድ ልማት,0.0,Senior Procurement and Business Development Associate,"Direct mapping, removed facility name."
"Senior Attorney, Sheriah & Legal Research and Advisory",ከፍተኛ ጠበቃ፣ ሸሪያ እና የህግ ጥናት እና ምክር,0.0,Senior Attorney (Sharia and Legal Research),"Direct mapping, with clarification."
Senior Auto Body Man,ሲኒየር የመኪና አካል ሰው,0.0,Senior Auto Body Technician,More standardized title for auto body work.
Senior Awards and Partnership Manager,ሲኒየር ሽልማቶች እና አጋርነት አስተዳዳሪ,0.0,Senior Awards and Partnership Manager,Direct mapping.
Senior Awards and Sub Awards Specialist,ሲኒየር ሽልማቶች እና ንዑስ ሽልማቶች ስፔሻሊስት,0.0,Senior Grants and Compliance Officer,Awards and sub-awards are typically managed in grants and compliance roles.
Senior BIM Modeler (Structural),ሲኒየር BIM ሞዴል (መዋቅር),0.0,Senior Structural BIM Modeler,BIM modeling with structural focus is standard in construction and engineering.
Senior Body Man,ከፍተኛ የሰውነት አካል,0.0,Senior Auto Body Technician,Body man is a common term for auto body repair technicians in Ethiopian workshops.
Senior Business Development and Program Quality Manager,ሲኒየር የንግድ ልማት እና ፕሮግራም ጥራት አስተዳዳሪ,0.0,Senior Program Development and Quality Manager,Combines business development and program quality into a typical NGO/development role.
Senior Category Manager,ከፍተኛ ምድብ አስተዳዳሪ,0.0,Senior Procurement Category Manager,Category management in Ethiopian context often falls under procurement.
Senior Channel Specialist,ሲኒየር ሰርጥ ስፔሻሊስት,0.0,Senior Channel Sales Specialist,Channel specialist typically focuses on sales and distribution channels.
Senior Channels Management and Technical Support,ሲኒየር ሰርጦች አስተዳደር እና የቴክኒክ ድጋፍ,0.0,Senior Channel Management and Technical Support Officer,Cleaner title combining management and support functions.
Senior Cheque Clearance Accountant,ሲኒየር ቼክ ማጽጃ አካውንታንት,0.0,Senior Clearing Accountant,Cheque clearance is a specific banking operation; clearing accountant is standard.
Senior Civil Society and Various Public Organization Participation Expert II,ከፍተኛ የሲቪል ማህበረሰብ እና የተለያዩ የህዝብ ድርጅት ተሳትፎ ኤክስፐርት II,0.0,Senior Civil Society Engagement Expert,Simplified from the long title; reflects participation and public organization work.
Senior Claim Engineer,ከፍተኛ የይገባኛል ጥያቄ መሐንዲስ,0.0,Senior Claims Engineer,Claims engineering is common in construction and insurance sectors in Ethiopia.
"Senior Clinical, Cardiac or Emergency Medicine Nursing",ሲኒየር ክሊኒካል፣ የልብ ወይም የድንገተኛ ህክምና ነርሲንግ,0.0,Senior Cardiac or Emergency Nurse,"Clinical, cardiac, and emergency nursing mapped to specialized nurse role."
Senior Collateral Valuator,ሲኒየር ዋስ ቫልዩተር,0.0,Senior Collateral Valuation Officer,Collateral valuator is a banking role; standardized as valuation officer.
Senior Community Engagement and PHC Advisor,ከፍተኛ የማህበረሰብ ተሳትፎ እና PHC አማካሪ,0.0,Senior Community Health Advisor,PHC (Primary Health Care) and community engagement combined into health advisor.
Senior Compressor & Chiller Operator,ሲኒየር መጭመቂያ እና ቺለር ኦፕሬተር,0.0,Senior Compressor and Chiller Technician,Operator role in Ethiopian industry typically termed technician.
Senior Consultant for eCHIS Evaluation,ለ eCHIS ግምገማ ከፍተኛ አማካሪ,0.0,Senior eCHIS Evaluation Consultant,eCHIS is Ethiopian electronic community health information system; evaluation consultant fits.
Senior Controller,ከፍተኛ ተቆጣጣሪ,0.0,Senior Financial Controller,Controller in Ethiopian context most often refers to financial control.
Senior Corporate Governance Expert,ከፍተኛ የኮርፖሬት አስተዳደር ኤክስፐርት,0.0,Senior Corporate Governance Officer,Expert role mapped to officer title common in corporate governance.
Senior Corporate Relationship Officer-IFB,ከፍተኛ የኮርፖሬት ግንኙነት ኦፊሰር-IFB,0.0,Senior Corporate Relationship Officer (IFB),IFB likely refers to Islamic financing; kept as is.
Senior Corporate Social Responsibility (CSR) Officer,ከፍተኛ የኮርፖሬት ማህበራዊ ሃላፊነት (CSR) ኦፊሰር,0.0,Senior CSR Officer,Corporate Social Responsibility officer is standard in large Ethiopian companies.
Senior Cost & Budget Accountant,ከፍተኛ ወጪ እና የበጀት አካውንታንት,0.0,Senior Cost and Budget Accountant,Cost and budget accounting is a standard finance position.
Senior CPD Advisor/ Specialist,ሲኒየር CPD አማካሪ/እስፔሻሊስት,0.0,Senior Training and Development Specialist,"CPD stands for Continuing Professional Development, which aligns with training and development."
Senior Credit Analysis and Appraisal Officer II,ከፍተኛ የብድር ትንተና እና ግምገማ ኦፊሰር II,0.0,Senior Credit Analyst,Focus on credit analysis and appraisal.
Senior Credit Follow Up & Monitoring officer,ከፍተኛ የብድር ክትትል እና ክትትል ኦፊሰር,0.0,Senior Credit Monitoring Officer,Main duties are follow-up and monitoring of credit.
Senior Cupper,ሲኒየር ኩፐር,0.0,Senior Coffee Quality Analyst,"'Cupper' is a coffee taster in the coffee industry, common in Ethiopia."
Senior Currency Management,ሲኒየር ምንዛሪ አስተዳደር,0.0,Senior Treasury Officer,Currency management involves treasury functions.
Senior Customer Relation & Saving Coordinator,ከፍተኛ የደንበኞች ግንኙነት እና ቁጠባ አስተባባሪ,0.0,Senior Customer Relations Officer,Handles customer relations and savings coordination.
Senior Data Encoder,ሲኒየር ውሂብ ኢንኮደር,0.0,Senior Data Entry Clerk,Data encoder primarily performs data entry tasks.
Senior Data Use Advisor for GEEKS project,GEEKS ፕሮጀክት ከፍተኛ የውሂብ አጠቃቀም አማካሪ,0.0,Senior Data Analyst,Data use advising for projects involves data analysis.
Senior Diaspora Communication & Management and FOREX Officer,ፍተኛ የዲያስፖራ ኮሙዩኒኬሽን እና አስተዳደር እና የ FOREX ኦፊሰር,0.0,Senior Diaspora Relations Officer,Focus on diaspora communication and FOREX management.
Senior Digital Channel Development Officer,ከፍተኛ የዲጂታል ቻናል ልማት ኦፊሰር,0.0,Senior Digital Product Manager,Digital channel development is a product management role.
SENIOR DIGITAL HEALTH ADVISOR,ሲኒየር ዲጂታል ጤና አማካሪ,0.0,Senior Digital Health Specialist,Advises on digital health initiatives.
Senior Digital Wallet & FinTech Management Officer,ሲኒየር ዲጂታል ቦርሳ እና ፊንቴክ አስተዳደር ኦፊሰር,0.0,Senior FinTech Product Manager,Manages digital wallet and fintech products.
Senior Dispute and Reconciliation Officer,ከፍተኛ የክርክር እና የእርቅ ኦፊሰር,0.0,Senior Reconciliation Officer,Handles disputes and reconciliation processes.
Senior District Talent Acquisition Officer,ሲኒየር ዲስትሪክት ተሰጥኦ ማግኛ መኮንን,0.0,Senior Recruitment Officer,Talent acquisition at district level.
Senior Documentation and Export Booking Officer,ከፍተኛ ሰነዶች እና ኤክስፖርት ማስያዣ ኦፊሰር,0.0,Senior Export Documentation Officer,Documentation and export booking are key responsibilities.
Senior Documentation and Transit Officer,ከፍተኛ ሰነዶች እና ትራንዚት ኦፊሰር,0.0,Senior Logistics Officer,Handles documentation and transit logistics.
Senior dragist,ሲኒየር ድራጊስት,0.0,Senior Pharmacist,'Dragist' likely refers to druggist/pharmacist in Ethiopian context.
Senior DRM Technical Specialist,ከፍተኛ የ DRM ቴክኒካል ስፔሻሊስት,0.0,Senior Disaster Risk Management Specialist,DRM stands for Disaster Risk Management.
