title_en,title_am,similarity_score,alternative_position,reason
Director for KG students and Main teacher,,0,Head Teacher,"In Ethiopian context, a director for KG students and main teacher is typically a head teacher who oversees both teaching and administrative duties."
"Director for Learning, Advocacy, and Change, USAID Ethiopia Resilience Learning Activity (RLA)",,0,Learning Director,"This role focuses on learning, advocacy, and change within a USAID project, aligning with a learning director position."
"Director, IT Application & Program Management Department",,0,IT Director,"Oversees IT applications and program management, which is standard for an IT director."
Director-IT Security,,0,IT Security Director,"Directly responsible for IT security, matching the IT security director role."
"Director, NGOs, International Institutions and Diaspora Banking Department",,0,Banking Director,"Manages banking services for NGOs, international institutions, and diaspora, typical for a banking director."
"Director, Non-Interest Operations Department",,0,Operations Director,"Heads non-interest operations, which is a specialized operations director role in banking."
Director of Analysis Research and Learning (DARL),,0,Research and Learning Director,"Focuses on analysis, research, and learning, fitting a research and learning director position."
"Director of Analysis Research and Learning (DARL), Ethiopia Sustainable Peace Activity",,0,Research and Learning Director,"Similar to DARL but within a peace activity project, still a research and learning director."
Director of F&B,,0,Food and Beverage Director,"Abbreviation F&B stands for food and beverage, common in hospitality management."
"Director of Finance and Operations, Various Upcoming USAID-Funded Programs",,0,Finance and Operations Director,"Manages finance and operations for USAID programs, aligning with a finance and operations director."
Director of Inclusive Economic Growth,,0,Economic Development Director,Inclusive economic growth is a key focus of economic development roles in Ethiopia.
"Director of Programs, Ethiopia",,0,Program Director,"Directs programs for an organization in Ethiopia, commonly titled Program Director."
"Director, Partnership and Field Implementation",,0,Partnerships Director,"Focuses on partnerships and field implementation, aligning with Partnerships Director roles."
"Director, Post-Tension Construction",,0,Construction Director,Post-tension construction is a specialized construction field; Construction Director is the standard title.
"Director, Research, Community Service and University Industry Linkage Office",,0,Research and Community Service Director,"Oversees research, community service, and university-industry linkage, typical for a university director."
"Director, Underwriting & Branches Operations",,0,Underwriting Director,"Manages underwriting and branch operations, common in Ethiopian insurance/banking."
Disability and Inclusion Officer,,0,Inclusion Officer,Disability and inclusion officer roles are often titled Inclusion Officer in Ethiopia.
Disbursement & Collection Division Head,,0,Collections Manager,"Heads disbursement and collection division, typically a Collections Manager in Ethiopian finance."
"Disbursement ,Collection & Follow Up Division Head",,0,Collections Manager,"Similar to above, manages disbursement, collection, and follow-up, standard as Collections Manager."
Disbursement Section Head,,0,Disbursement Officer,"Leads a disbursement section, commonly titled Disbursement Officer in Ethiopian organizations."
Dish Maintenance,,0,Kitchen Equipment Technician,"Dish maintenance involves cleaning and repairing kitchen equipment, similar to a technician role."
"Disposable Product (Food box, Cups, Spoon, Fork) Retailers and Distributors",,0,Sales Representative,Retailing and distributing disposable products is a sales function.
Dispute and Reconciliation Officer,,0,Reconciliation Officer,"The role focuses on resolving disputes and reconciling accounts, matching a standard finance position."
District Credit Analysis and Appraisal Officer,,0,Credit Analyst,Analyzing credit applications and appraisals is core to a credit analyst role.
District Credit Analyst to Addis Ababa District Office - Re-advertised,,0,Credit Analyst,"Same core function as a credit analyst, with a location-specific note."
District Credit Recovery Officer for Jimma District Office,,0,Credit Recovery Officer,Focus on recovering overdue loans aligns with a recovery officer role.
District IFB Business Manager,,0,Business Manager,Managing Islamic banking business operations is a business management role.
District Junior Auditor,,0,Junior Auditor,"Directly matches the title, with a district focus."
District Program Officers,,0,Program Officer,Overseeing district programs is a standard program officer function.
District Talent Acquisition Officer,,0,Talent Acquisition Officer,Recruiting talent at the district level is a talent acquisition role.
District TB Officer (DTO) for TB Project from Expertise France,,0,TB/HIV Program Officer,District TB Officer role in a TB project aligns with program officer responsibilities in Ethiopian health projects.
District Valuator (Maker/Checker),,0,Property Valuator,District Valuator (Maker/Checker) is a property valuation role common in Ethiopian land and property administration.
District Valuator -Maker-Checker,,0,Property Valuator,"Same as above, with Maker-Checker indicating dual role in valuation verification."
"Division Head, Cost & Budget Control",,0,Cost Control Manager,Division Head of Cost & Budget Control is a managerial role focused on cost management in Ethiopian organizations.
"Division Manager, Share Sales Project",,0,Sales Manager,"Division Manager for Share Sales Project involves leading sales initiatives, typical of sales management."
Division Vice Director,,0,Deputy Division Manager,Division Vice Director is a deputy leadership role in Ethiopian public or private sector divisions.
Dj,,0,Disc Jockey,DJ is a standard entertainment role in Ethiopian nightlife and events.
Django and Angular developer,,0,Full Stack Developer,"Django and Angular developer combines backend and frontend skills, fitting full stack roles in Ethiopian tech."
Django and React developer,,0,Full Stack Developer,"Django and React developer similarly covers both backend and frontend, common in Ethiopian startups."
Django Backend Developer,,0,Backend Developer,"Django Backend Developer is a specialized backend role using Python/Django, relevant in Ethiopian software firms."
Django programmer,,0,Backend Developer,Django is a backend framework; 'programmer' maps to developer roles.
Django Rest Framework developer,,0,Backend Developer,DRF is a backend API tool; role is backend-focused.
Django Vue js and REST API developer,,0,Full Stack Developer,Combines Django (backend) and Vue.js (frontend) with REST API.
Django Web developer,,0,Web Developer,Django is a web framework; 'web developer' is the standard title.
DJ / music mix,,0,DJ / Music Producer,Direct mapping for music mixing role.
አስመጪና ላኪ documentation,,0,Import/Export Documentation Specialist,Amharic term for import/export documentation role.
Documentation Specialist for a Visa Consultancy,,0,Documentation Specialist,Visa consultancy context fits general documentation specialist.
documentation specialist for foreign employment agency,,0,Documentation Specialist,Foreign employment agency context fits general documentation specialist.
Document Controller,,0,Document Controller,Direct mapping; common title in Ethiopian job market.
Document Custodian - Archive,,0,Document Controller,Archive custodian role is a type of document control.
Document design,,0,Graphic Designer,Document design is a core function of graphic design in the Ethiopian context.
Doing the finishing of a website and application,,0,Web Developer,Finishing a website and application aligns with web development tasks.
Doodle Video Creator Freelance,,0,Video Editor,Doodle video creation is a form of video editing and animation.
Door to Door business sales Agent (B2B),,0,Sales Agent,Door-to-door B2B sales is a common sales agent role in Ethiopia.
Doortodoor marketing internship(unpaid internship),,0,Marketing Intern,Door-to-door marketing internship is a marketing intern position.
Dot net desktop app and windows service developer,,0,Desktop Application Developer,Developing .NET desktop apps and Windows services is a desktop application developer role.
Double Facer Machine Operator,,0,Machine Operator,Operating a Double Facer machine is a machine operator job in manufacturing.
DQI & DU Mentor,,0,Quality Assurance Mentor,"DQI & DU mentoring involves quality improvement and data use, similar to QA mentoring."
Drafting and BOQ expert,,0,Quantity Surveyor,Drafting and BOQ (Bill of Quantities) is a key responsibility of a quantity surveyor.
Drafting contracts,,0,Legal Drafter,Drafting contracts is a primary task of a legal drafter or contract lawyer.
Drinking Cocktail Specialist,,0,Bartender,"Drinking Cocktail Specialist is a creative title for a bartender, which is the standard position in Ethiopia."
Drone for rent,,0,Drone Operator,"Drone for rent implies operating drones, so Drone Operator is the standard title."
Dropshipping Expert(Shopify),,0,E-commerce Specialist,"Dropshipping Expert (Shopify) is a specialized e-commerce role, mapped to the broader standard title."
"DSG, Membership Affairs & Communication",,0,Membership Affairs Officer,"DSG likely refers to a department, and the role focuses on membership affairs and communication."
DTM Database Assistant,,0,Database Assistant,"DTM (Displacement Tracking Matrix) is a specific context, but the core role is Database Assistant."
Dump Truck contract work,,0,Heavy Truck Driver,"Dump Truck contract work is a driving role for heavy trucks, standardized as Heavy Truck Driver."
Durable Solutions Analyst – Programme Management & Operations,,0,Programme Analyst,Durable Solutions Analyst with programme management focus maps to Programme Analyst.
Durable Solutions Specialist,,0,Programme Specialist,"Durable Solutions Specialist is a specialized programme role, mapped to Programme Specialist."
Duty Free Representative Salesperson Airport,,0,Sales Representative,Duty Free Representative Salesperson at an airport is a Sales Representative role.
DVM Officer I,,0,Veterinary Officer,"DVM (Doctor of Veterinary Medicine) Officer I is a veterinary professional, mapped to Veterinary Officer."
"Eagle point, Auto cad & Arci cad (part time) teacher",,0,CAD Instructor,"The role involves teaching AutoCAD and ArchiCAD, which aligns with a CAD instructor position."
EAR Assistant Finance Director – World Vision Ethiopia,,0,Assistant Finance Director,The title directly indicates an assistant director role in finance at an NGO.
Earth work Foreman,,0,Foreman,Earth work foreman is a standard construction foreman role focused on earthwork.
Earthwork Superintenden,,0,Construction Superintendent,Earthwork superintendent is a specialized construction superintendent role.
E-Banking Settlement & Reconciliation Officer I,,0,E-Banking Officer,"The role involves settlement and reconciliation in e-banking, typical for an e-banking officer."
Ebirr operators,,0,E-Birr Agent,"Ebirr operators manage mobile money transactions, similar to an agent role."
Ecommerce App developer(Flutter),,0,Flutter Developer,The role specifically requires Flutter for ecommerce app development.
Ecommerce Technology Expert,,0,Ecommerce Specialist,"The title implies expertise in ecommerce technology, fitting a specialist role."
Ecommerce website and app developer,,0,Full Stack Developer,Developing both website and app for ecommerce requires full stack skills.
Ecommerce Website Seo Expert,,0,SEO Specialist,The role focuses on SEO for an ecommerce website.
Econometrics,,0,Economist,Econometrics is a field within economics; the closest standard job title is Economist.
Econometrics analysis,,0,Data Analyst,"Econometrics analysis involves statistical analysis of economic data, similar to a Data Analyst role."
Econometrics Tutor,,0,Economics Tutor,"An Econometrics Tutor teaches econometrics, which falls under Economics tutoring."
ECSO Council Secretariat Director,,0,Executive Director,"Council Secretariat Director is a senior leadership role, best mapped to Executive Director."
ECX Purchase Officer,,0,Procurement Officer,"ECX Purchase Officer handles purchasing, equivalent to a Procurement Officer."
ECX TRADING EXPERT,,0,Commodity Trader,"ECX Trading Expert trades commodities on the Ethiopia Commodity Exchange, so Commodity Trader is appropriate."
Educational and promotional video Host,,0,Video Host,Educational and promotional video Host is a Video Host role.
Education & Visa Consultancy Manager,,0,Education Consultant,"Education & Visa Consultancy Manager oversees education and visa consulting, best mapped to Education Consultant."
efficient c++ programmer,,0,C++ Developer,Efficient C++ programmer is a C++ Developer.
EHS Manager,,0,EHS Manager,"EHS Manager is already a standard title for Environment, Health, and Safety Manager."
Election Dispute Resolution (EDR) Expert,,0,Legal Advisor,"EDR Expert involves legal and dispute resolution skills, closely aligned with legal advisory roles in Ethiopia."
Election Operation Desk Expert,,0,Operations Coordinator,"Election Operation Desk Expert manages operational tasks, similar to an operations coordinator role."
Electrical and Automation maintenance Section head,,0,Electrical Maintenance Manager,Section head of electrical and automation maintenance is equivalent to a maintenance manager in Ethiopian industry.
Electrical design tutorial,,0,Electrical Design Engineer,"Electrical design tutorial implies teaching or performing electrical design, matching an engineer role."
Electrical industrial plan design for Ethiopia Electric power corporation.,,0,Electrical Design Engineer,Industrial plan design for EEP involves electrical design engineering tasks.
Electrical Section Head,,0,Electrical Section Head,Directly matches the standardized title for a senior electrical supervisory role.
Electric motor rewinding technician,,0,Electric Motor Technician,"Rewinding is a specialized technician task, fitting the motor technician role in Ethiopia."
Electro- Mechanical Assistant Section Head,,0,Electromechanical Assistant Manager,Assistant section head in electro-mechanical is equivalent to an assistant manager position.
Email Creator,,0,Content Creator,"Email creation is a content creation task, aligning with a content creator role."
"Email marketer, Blog writer",,0,Digital Marketing Specialist,Email marketing and blog writing are core digital marketing functions.
EMA IRB Secretary,,0,Secretary,"The role is a secretary for a specific committee (EMA IRB), which aligns with the general secretary position."
Emergency Health and Nutrition Project Coordinator – Mental Health and Nutrition Team (MHNT),,0,Project Coordinator,"The role coordinates a health and nutrition project, fitting the project coordinator title."
Emergency Refugee Camps Accessibility Audit Works,,0,Accessibility Auditor,"The role involves auditing accessibility in refugee camps, matching the auditor position."
Emergency Woreda Coordinator & GBV Officer,,0,Woreda Coordinator,"The role coordinates activities at the woreda level and includes GBV officer duties, but the primary role is coordination."
Employability and Life Skills Trainer,,0,Life Skills Trainer,"The role focuses on training employability and life skills, aligning with a trainer position."
"Employability, skills development and training officer",,0,Training Officer,"The role involves employability, skills development, and training, fitting the training officer title."
"Employee Relations, Training and Development Lead",,0,Employee Relations Manager,"The role leads employee relations, training, and development, with employee relations as the primary focus."
EMPOWERMENT AND BDS PROVIDERS,,0,Business Development Specialist,"The role involves empowerment and business development services, matching the specialist position."
Enabling environment and partnership manager/Lead,,0,Partnership Manager,"The role manages enabling environment and partnerships, aligning with the partnership manager title."
Engagement Monitoring Specialist,,0,Monitoring Specialist,"The role specializes in engagement monitoring, fitting the monitoring specialist position."
Engineer and Collateral Valuator( Civil),,0,Civil Engineer,"The role involves civil engineering and property valuation, which aligns with civil engineering."
Engineering Foreman,,0,Construction Foreman,An engineering foreman typically supervises construction or maintenance crews.
ENGINEERING & MENTENANCE HEAD / TECHINC HEAD,,0,Maintenance Manager,"The title indicates head of engineering and maintenance, equivalent to a maintenance manager."
Engineering Services Division Head,,0,Engineering Manager,Division head of engineering services is a managerial role over engineering functions.
Engineer STTA,,0,Short-Term Technical Advisor,"STTA stands for short-term technical assistance, often a consultant or advisor."
,,0,,
English Narrator,,0,Voice Actor,An English narrator provides voice-over for content.
English to Amharic legal Translators,,0,Legal Translator,Specialized translation between English and Amharic for legal documents.
English to Amharic YouTube Video Script Translator,,0,Content Translator,Translating YouTube video scripts from English to Amharic.
English videos translator,,0,Video Translator,General translation of English video content.
English voice actor,,0,Voice Actor,Standardized term for voice acting roles in Ethiopian context.
English Voiceover /Male / Middle aged American voice,,0,Voice Actor,Specifics like gender and accent are details; core role is voice acting.
English YouTube and TikTok teacher,,0,Online English Teacher,Focus on teaching English via digital platforms like YouTube and TikTok.
Enhancing the rule of law to develop gender equality,,0,Gender Equality Legal Advisor,Role involves legal work to promote gender equality and rule of law.
Enterprise Network Service Team Lead,,0,IT Network Team Lead,Standardized title for leading enterprise network services team.
,,0,,
Entrepreneurship and Financial inclusion Officer,,0,Financial Inclusion Officer,Combines entrepreneurship and financial inclusion; core is financial inclusion.
Entrepreneurship Program,,0,Entrepreneurship Program Coordinator,Implies coordination of entrepreneurship programs.
Entrepreneurship Training of Trainer (ToT) Expert for BMOs,,0,Training of Trainers Expert,Focus on training trainers for business membership organizations.
Enumerators and Supervisors (24),,0,Enumerator,Primary role is data collection; supervisors are included but enumerator is core.
Environmental and Social Governance/ Impact Reporting,,0,ESG Analyst,"Focuses on environmental and social governance reporting, common in Ethiopian corporate and development sectors."
Environmental impact assessment,,0,Environmental Impact Assessment Officer,Directly matches the role of conducting environmental impact assessments.
E-Payment Officer II,,0,Digital Payment Officer,"E-Payment is a digital payment role, common in Ethiopian banks and fintech."
Epidemiologist for Trachoma Elimination Program,,0,Epidemiologist,"Specialized public health role for disease elimination programs, common in Ethiopia."
epoxy teacher,,0,Epoxy Flooring Instructor,"Epoxy teacher likely refers to training in epoxy application, relevant in construction."
Equipment Admin Head,,0,Equipment Administration Manager,"Heads equipment administration, a standard managerial role in Ethiopian organizations."
Equipment Admiration & Maintenance Div. Head,,0,Equipment Maintenance Division Head,Oversees equipment admiration (likely a typo for administration) and maintenance.
Equipment & Plant Maintenance Division Head,,0,Equipment Maintenance Division Head,Directly manages equipment and plant maintenance division.
"Equipment Utilization, Evaluation and Control Officer",,0,Equipment Utilization Officer,"Monitors equipment utilization, evaluation, and control, common in logistics."
ER and Compensation Specialist,,0,Compensation and Benefits Specialist,"ER (Employee Relations) and compensation specialist role, typical in HR."
ERP Data Encoder,,0,Data Entry Clerk,"ERP Data Encoder primarily involves entering data into an ERP system, which aligns with the core duties of a Data Entry Clerk."
ERP developer with Microsoft Power Apps,,0,ERP Developer,"The role focuses on developing ERP solutions using Microsoft Power Apps, fitting the ERP Developer title."
ERP developer with ServiceNow and Odoo platform,,0,ERP Developer,Development work on ServiceNow and Odoo platforms is best mapped to the general ERP Developer role.
ERPNext Developer,,0,ERP Developer,Specializing in ERPNext development falls under the broader ERP Developer category.
ERP Procurement : Implementation Project Manager,,0,Implementation Project Manager,"The role manages the implementation of ERP procurement modules, matching the Implementation Project Manager title."
ERP Roll out implementation Function Intern,,0,Implementation Intern,"This is an intern position focused on ERP rollout implementation, so Implementation Intern is appropriate."
Ertib bet serategna,,0,Office Assistant,"Ertib bet serategna is an Amharic term meaning office orderly or assistant, equivalent to Office Assistant."
ES/NFI Cash Assistant,,0,Cash Assistant,"ES/NFI Cash Assistant clearly indicates a cash assistance role, mapped to Cash Assistant."
ES/NFI Officer,,0,ES/NFI Officer,The title ES/NFI Officer is already standard and directly used as the alternative.
ESNFI Officer,,0,ES/NFI Officer,"ESNFI Officer is a common abbreviation for ES/NFI Officer, so the standard title applies."
Esports highlights creator (video editing),,0,Video Editor,Esports highlights creation is a specialized form of video editing.
Esthetic Teacher/ክይን ጥበባት መምህር,,0,Art Teacher,Esthetic Teacher/ክይን ጥበባት መምህር refers to teaching fine arts or aesthetics.
Ethics and Anticorruption Officer,,0,Compliance Officer,Ethics and anticorruption roles are typically part of compliance functions.
Ethics Monitoring Department Manager,,0,Compliance Manager,Managing an ethics monitoring department aligns with compliance management.
Ethiopia Electric Utility Interface Coordinator,,0,Utility Coordinator,Interface coordination for a utility company is a utility coordination role.
"Ethiopia Health, Safety and Security (HSS) Specialist",,0,Health and Safety Specialist,"HSS stands for Health, Safety, and Security, but the core is health and safety."
Ethiopia HR and Finance Coordinator,,0,HR and Finance Coordinator,The title directly describes a combined HR and finance coordination role.
Ethiopia IT Support Officer,,0,IT Support Specialist,IT Support Officer is a standard IT support role.
Ethiopian and European dish cook,,0,Cook,Specializing in Ethiopian and European dishes is a cook role.
Ethiopian history content writer,,0,Content Writer,Writing about Ethiopian history is a content writing specialization.
Ethiopia Office and Culture Coordinator,,0,Office Manager,"Combines office coordination and culture-related duties, typical of an Office Manager role in Ethiopia."
Ethiopia Program Innovation and Fundraising Lead,,0,Program Manager,"Leads program innovation and fundraising, aligning with Program Manager responsibilities in Ethiopian NGOs."
Ethiopia Research and Evaluation Analyst,,0,Research Analyst,"Focuses on research and evaluation analysis, matching the Research Analyst role common in Ethiopian research institutions."
Ethiopia Resilience Measurement Consultant,,0,Monitoring and Evaluation Specialist,"Resilience measurement is a core M&E function, especially in Ethiopian development projects."
Ethiopia TA Food Environment Officer,,0,Food Safety Officer,Technical assistance in food environment aligns with Food Safety Officer roles in Ethiopian regulatory or project contexts.
"Ethiopia TA Food Processing, Safety, and Quality Specialist - Livestock",,0,Food Processing Specialist,"Specializes in food processing, safety, and quality for livestock, fitting Food Processing Specialist positions in Ethiopian agro-industry."
Ethio telecom vas service,,0,Telecom VAS Specialist,"VAS service role at Ethio telecom, directly mapped to Telecom Value-Added Services Specialist."
ethitelecom payment API integration,,0,API Integration Developer,Payment API integration for Ethio telecom corresponds to API Integration Developer roles in Ethiopian fintech.
Evaluator for a research paper,,0,Research Evaluator,"Evaluates a research paper, matching Research Evaluator positions in Ethiopian academic or research settings."
EVD agent (in bulk),,0,Sales Agent,"EVD agent in bulk refers to sales or distribution agent roles, common in Ethiopian consumer goods."
EVD developer,,0,Software Developer,"EVD likely refers to Electronic Voucher Distribution, which is a software-related role."
EVD electronic mobile cards retailers,,0,Sales Representative,Retailers of electronic mobile cards are essentially sales agents.
EVD Sales & Marketing Supervisor,,0,Sales and Marketing Supervisor,Directly matches the title with standard terminology.
Event Ambassadors and VIP Hosts,,0,Event Host,Ambassadors and VIP hosts are primarily responsible for hosting and guest relations.
event decor and catering,,0,Event Decorator,Focus on decoration and catering aligns with event decorator roles.
Event Decor and sound system,,0,Event Technician,"Involves setting up decor and sound systems, typical of event technicians."
Event decoration employees,,0,Event Decorator,Directly matches decoration employees to standard decorator title.
Event Decoration Trainer,,0,Training Specialist,Trainer role focused on event decoration skills.
Event Executive and Insight Developer,,0,Event Coordinator,Executive and insight development suggests planning and analysis typical of coordinators.
Event Live Streaming Production Technician,,0,Broadcast Technician,Live streaming production involves technical broadcast equipment and operations.
Event Organizing and Promoting,,0,Event Coordinator,"Focuses on organizing and promoting events, typical of an Event Coordinator role."
Event organizing and social media marketing,,0,Event Marketing Specialist,"Combines event organization with social media marketing, aligning with this title."
Event Planner/ Organizer,,0,Event Planner,Directly matches the role of planning and organizing events.
Excel VBA Expert,,0,VBA Developer,Expertise in Excel VBA is a specialized programming role.
Exciting opportunity as Country Consortium Coordinator for disability rights project,,0,Country Program Coordinator,Coordinates a consortium for a disability rights project at the country level.
Excutive secreatery,,0,Executive Secretary,Corrects spelling to the standard administrative role.
"Executive Assistant and Board Secretary to HMA, DHM and DPR to AU x 3 (33/23 ADD)",,0,Executive Assistant,Provides executive support and board secretarial duties to high-level officials.
Executive Director of ECSOC,,0,Executive Director,"Leads an organization (ECSOC), matching the executive director title."
Executive Director of Strategy and Innovation,,0,Chief Strategy Officer,Oversees strategy and innovation at an executive level.
Executive English content writer,,0,Content Writer,"Writes English content, likely for marketing or communications."
Executive Office Assistance and Translator,,0,Executive Assistant,"Combines executive office support with translation, common in Ethiopian offices."
Exihibition Sales,,0,Sales Representative,"Exhibition sales is a type of sales role, mapped to general sales representative."
Expeditor and Maintenance Service Assistant,,0,Maintenance Assistant,Expeditor and maintenance service assistant primarily involves maintenance support.
Expeditor/Guday asfetsami,,0,Expeditor,"Guday asfetsami is Amharic for expeditor, directly mapped to expeditor."
EXPERIANCED MERN STACK DEVELOPER,,0,MERN Stack Developer,Experienced MERN stack developer maps to standard MERN stack developer role.
Experianced Outdoor Sales,,0,Outdoor Sales Representative,Experienced outdoor sales maps to standard outdoor sales representative.
Experianced Phyton Developer,,0,Python Developer,Experienced Python developer maps to standard Python developer role.
Experienced amharic transcriber,,0,Transcriber,"Amharic transcriber is a specialized transcription role, mapped to general transcriber."
Experienced Angular developer.,,0,Angular Developer,Experienced Angular developer maps to standard Angular developer role.
Experienced Angular Developer,,0,Angular Developer,"Duplicate of index 8, same mapping to standard Angular developer."
Experienced Angular Front end developer,,0,Frontend Developer (Angular),Angular is a specific frontend framework; 'Frontend Developer (Angular)' is the standard title.
Experienced Author,,0,Content Writer,"In Ethiopian context, 'Author' is less common; 'Content Writer' is a standard alternative for experienced writers."
Experienced ERPNext Implementer,,0,ERP Implementer,ERPNext is a specific ERP system; 'ERP Implementer' is the standard role for implementation specialists.
Experienced Flutter Developer,,0,Mobile App Developer (Flutter),Flutter is a cross-platform framework; 'Mobile App Developer (Flutter)' is the standard title.
Experienced Frontend developer with Angular,,0,Frontend Developer (Angular),Same as index 0; Angular frontend development is standardized as 'Frontend Developer (Angular)'.
Experienced frontend react developer,,0,Frontend Developer (React),React is a frontend library; 'Frontend Developer (React)' is the standard title.
Experienced Full Stack developer needed,,0,Full Stack Developer,The phrase 'needed' is redundant; 'Full Stack Developer' is the standard title.
Experienced Gitlab technician,,0,IT Technician,GitLab is a tool; 'IT Technician' is a broader standard role for technical support in Ethiopian context.
Experienced Grants & Business Proposal Writer,,0,Proposal Writer,Grants and business proposal writing is commonly standardized as 'Proposal Writer' in Ethiopia.
Experienced Internet café Attendant,,0,Café Attendant,Internet café is a specific type; 'Café Attendant' is the standard title for such service roles.
Experienced Java and Spring Developer,,0,Java Developer,Focus on Java and Spring framework aligns with standard Java Developer role.
Experienced Laravel and Full stack Developer,,0,Full Stack Developer,Laravel and full stack skills map to the general Full Stack Developer position.
Experienced Laravel Developer,,0,Laravel Developer,Direct match to the specialized Laravel Developer role.
Experienced Layout Designer (InDesign),,0,Graphic Designer,Layout design with InDesign is a core graphic design function.
Experienced marble and granite Sales,,0,Sales Representative,"Marble and granite sales is a specialized sales role, fitting Sales Representative."
Experienced Nodejs developer,,0,Node.js Developer,Direct match to the Node.js Developer position.
Experienced Odoo ERP consultant,,0,ERP Consultant,Odoo ERP consulting maps to the general ERP Consultant role.
Experienced Python Developer,,0,Python Developer,Direct match to the Python Developer position.
Experienced Radio & TV Commercial Scriptwriter,,0,Copywriter,Scriptwriting for radio and TV is a form of copywriting.
Experienced React Developer,,0,React Developer,Direct match to the React Developer position.
Experienced React freelancers wanted,,0,Frontend Developer (React),React freelancer maps to a frontend developer role focused on React.
Experienced React Js and Node Js developers,,0,Full Stack Developer (React & Node.js),"Combines React (frontend) and Node.js (backend) skills, typical for full stack roles."
Experienced React Native Developer,,0,Mobile App Developer (React Native),React Native is specifically for mobile app development.
Experienced ReactNative Expo Developer,,0,Mobile App Developer (React Native),React Native Expo is a variant of React Native for mobile development.
Experienced Springboot Developer,,0,Backend Developer (Spring Boot),Spring Boot is a Java-based backend framework.
Experienced telegram bot developer,,0,Bot Developer,Telegram bot development is a specialized bot development role.
Experienced Visa Applicant,,0,Visa Processing Officer,Visa applicant handling is typically done by visa processing officers.
Experienced Vue Js and Nuxt Js Developer,,0,Frontend Developer (Vue.js & Nuxt.js),Vue.js and Nuxt.js are frontend frameworks for web development.
Experienced VueJs + Node JS (Loopback 3) Developer,,0,Full Stack Developer (Vue.js & Node.js),Combines Vue.js frontend with Node.js (Loopback) backend.
Experience Laravel Programmer,,0,Backend Developer (Laravel),"Laravel is a PHP backend framework, so this maps to a backend developer role."
Expert both In Flutter & UI design,,0,Mobile App Developer (Flutter),"Flutter is the primary skill, and UI design is often part of a mobile developer's role."
Expert in Bamboo Works (የቀርከሃ ባለሙያ),,0,Bamboo Craftsman,Expertise in bamboo works aligns with traditional craftsmanship in Ethiopia.
Expert in CNC Carving/Works (የCNC ባለሙያ),,0,CNC Machine Operator,CNC carving/works involves operating computer numerical control machines for manufacturing.
Expert in Node js and MySQL,,0,Backend Developer (Node.js),Node.js and MySQL are core backend technologies.
Expert in UI and flutter,,0,Mobile App Developer (Flutter),"Flutter is the main focus, with UI design as a complementary skill."
Expert Level ReactNative Developer,,0,Senior React Native Developer,Expert level implies seniority in React Native development.
Expert Next.js Developer,,0,Senior Next.js Developer,Expert level implies seniority in Next.js development.
Expert Node JS Developer,,0,Senior Node.js Developer,Expert level implies seniority in Node.js development.
Expert ReactNative developer,,0,Senior React Native Developer,Expert level implies seniority in React Native development.
Explosive Ordnance Risk Education Facilitators,,0,Explosive Ordnance Risk Education Officer,Facilitators in this context are typically officers or trainers in humanitarian mine action.
Expo and Bazaar Assistant,,0,Event Coordinator,"Expo and Bazaar Assistant involves organizing events and exhibitions, similar to an Event Coordinator."
Export Division Head,,0,Export Manager,"Export Division Head is a senior role overseeing export operations, equivalent to an Export Manager."
Export Division Manager,,0,Export Manager,"Export Division Manager directly manages export activities, same as Export Manager."
Export Documentation Junior Expert,,0,Export Documentation Specialist,"Export Documentation Junior Expert handles export paperwork, similar to an Export Documentation Specialist."
Export Finance Head,,0,Finance Manager,"Export Finance Head leads financial aspects of exports, akin to a Finance Manager."
Export Sales Team Leader,,0,Sales Team Leader,"Export Sales Team Leader leads a sales team focused on exports, similar to a Sales Team Leader."
Expression of Interest for Payroll Software,,0,Software Procurement Specialist,"Expression of Interest for Payroll Software involves evaluating and procuring software, like a Software Procurement Specialist."
External and internal sales person,,0,Sales Representative,"External and internal sales person handles both field and in-house sales, equivalent to a Sales Representative."
External Audit,,0,External Auditor,"External Audit refers to the role of conducting independent audits, same as External Auditor."
External Real estate sales,,0,Real Estate Sales Agent,"External Real estate sales involves selling properties outside the office, similar to a Real Estate Sales Agent."
Eye-Health Senior Technical Specialist,,0,Senior Technical Advisor,Eye-Health Senior Technical Specialist maps to a senior advisory role in health programs.
የሴቶች የውበት ሳሎን የጥፍርና የEyelash ባለሞያ,,0,Nail and Eyelash Technician,The Amharic title describes a beauty salon professional specializing in nails and eyelashes.
Fabricator (ማሽን ሰሪ),,0,Machine Operator,Fabricator (ማሽን ሰሪ) directly translates to machine maker/operator.
FAÇADE & GRAPHIC DESIGN EXPERT,,0,Graphic Designer,"FAÇADE & GRAPHIC DESIGN EXPERT combines facade design with graphic design, but the core skill is graphic design."
Facebook Ad Design,,0,Social Media Ad Specialist,"Facebook Ad Design focuses on creating ads for Facebook, a social media platform."
"Facebook ad, Google ad and ASO Expert",,0,Digital Marketing Specialist,"Expertise in Facebook ads, Google ads, and ASO falls under digital marketing."
Facebook and instagram account fixer,,0,Social Media Manager,Fixing Facebook and Instagram accounts involves managing and troubleshooting social media profiles.
Facebook Boost Manager,,0,Social Media Ad Specialist,"Facebook Boost Manager handles ad boosting on Facebook, a social media ad role."
Facebook Comments Specialist,,0,Social Media Community Manager,"Facebook Comments Specialist manages comments, a community management task."
